Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
Device.Bridging.Bridge.1.Port.15.Alias,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"cpe-bridgeport",xsd:string,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.15.Enable,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"true",xsd:boolean,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.15.LastChange,false,2026-03-05T02:56:43.803Z,false,2026-03-05T02:56:43.803Z,"0",xsd:unsignedInt,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.15.LowerLayers,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"Device.WiFi.SSID.12.",xsd:string,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.15.ManagementPort,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"false",xsd:boolean,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.15.Name,false,2026-03-05T02:56:43.803Z,false,2026-03-05T02:56:43.803Z,"rai5",xsd:string,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.15.Status,false,2026-03-05T02:56:43.803Z,false,2026-03-05T02:56:43.803Z,"Up",xsd:string,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.2,true,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"",,,,,,
Device.Bridging.Bridge.1.Port.2.Alias,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"cpe-bridgeport",xsd:string,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.2.Enable,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"true",xsd:boolean,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.2.LastChange,false,2026-03-05T02:56:43.803Z,false,2026-03-05T02:56:43.803Z,"0",xsd:unsignedInt,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.2.LowerLayers,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"Device.Ethernet.Interface.1.",xsd:string,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.2.ManagementPort,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"false",xsd:boolean,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.2.Name,false,2026-03-05T02:56:43.803Z,false,2026-03-05T02:56:43.803Z,"",xsd:string,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.2.Status,false,2026-03-05T02:56:43.803Z,false,2026-03-05T02:56:43.803Z,"Down",xsd:string,2026-03-05T02:55:26.067Z,,,,
Device.Bridging.Bridge.1.Port.3,true,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"",,,,,,
Device.Bridging.Bridge.1.Port.3.Alias,false,2026-03-05T02:56:43.803Z,true,2026-03-05T02:56:43.803Z,"cpe-bridgeport",xsd:string,2026-03-05T02:55:26.067Z,,,,
